,cell_class,coord_X,coord_Y
52318,L6 CT,0.1610367,0.1816316
135233,L5 IT,-0.09967455,0.03121556
52401,L5 IT,-0.07431873,0.19623482
92216,Endo,-0.3888395,0.09484673
193954,L6 CT,0.006409511,0.14597219
271326,Peri,0.24245577,-0.111849695
92217,OPC,-0.09703166,-0.18846154
135273,L5 IT,-0.09372337,0.21150059
262702,L5 IT,0.19912012,-0.21062571
135292,Oligo,-0.12649857,0.28679204
221228,L6 CT,-0.0051546954,0.17800674
220954,Endo,0.20313585,-0.27655298
100875,L2/3 IT,-0.26129496,-0.15744874
256710,Astro,-0.06746413,0.15698734
246842,Peri,-0.18428372,0.027479637
193134,L6 IT,0.43750462,-0.17093763
222213,Endo,-0.17708927,0.34965864
94276,Oligo,0.12204133,0.22472739
100028,L5 IT,0.17885725,-0.08252629
193153,Astro,0.38869095,-0.18968448
207595,Endo,0.104488194,-0.26580977
137621,L6 IT,0.15112635,-0.03351191
94233,L6 IT,0.43811888,-0.1369478
264004,Peri,0.114126295,-0.34791434
256552,L4/5 IT,-0.2930498,0.19099435
94207,L6b,0.21876998,0.16914895
49661,L4/5 IT,-0.294598,0.06748702
100082,L6 IT,-0.13220514,0.32968557
271750,Astro,-0.15098694,0.15480989
137490,Endo,0.13643372,-0.008278191
137489,Oligo,0.2797219,0.12586361
100304,Lamp5,-0.004891552,-0.34928292
93876,L5 ET,-0.01736397,-0.06825169
100294,Oligo,-0.21020953,0.21684906
207697,VLMC,-0.026466876,-0.38477522
49993,L2/3 IT,-0.002645377,-0.3175929
256594,Micro,0.41761178,-0.022301892
137699,L6 CT,0.39479366,-0.08373695
137303,L2/3 IT,-0.29538727,0.02247477
137350,L5 IT,-0.05979389,0.31509435
49895,L6 IT,0.37021303,-0.11070946
94007,L2/3 IT,-0.3726566,0.108479865
94119,Astro,0.28544384,0.2116502
94140,L6 IT,0.14834295,0.19348082
49817,L6 CT,-0.00521452,0.21624884
49910,L6 CT,-0.012741286,0.21004969
50104,Endo,0.17851247,-0.32715514
94354,Astro,-0.32448408,0.2961547
207521,L6 CT,0.26855922,0.09754907
207391,Endo,-0.34702727,-0.10632505
138079,L6b,0.18462893,0.2005001
207395,L4/5 IT,-0.23026726,0.07958496
94750,Endo,-0.46847355,0.04222542
49139,L5 IT,-0.19450222,0.22719282
94729,Endo,-0.30035108,0.24111447
94716,L5 IT,0.0880924,0.03964091
193035,L2/3 IT,-0.037561633,-0.23405436
49177,L6 CT,-0.15682018,0.36397028
193040,Micro,-0.13060068,0.34719113
256507,Endo,-0.14957382,0.37641007
99688,Oligo,0.18967998,0.22843468
137894,PVM,0.4091603,-0.041489013
49220,Peri,0.13019544,-0.22696713
99693,PVM,0.385577,0.024221916
99694,L5/6 NP,-0.16089919,0.2179997
94561,L4/5 IT,0.058372978,-0.14333314
271786,L6 CT,0.18907288,0.018606428
263946,Vip,0.06536499,-0.15120575
49333,Astro,0.16038038,0.07519221
49324,L5/6 NP,-0.22127828,0.25230053
137794,L6 CT,0.25467932,0.006135054
94420,Oligo,-0.067160204,0.42657566
94386,L6b,0.2975999,0.11999058
99856,Endo,-0.25006148,0.013468131
137819,L4/5 IT,-0.15320958,-0.030202124
207483,L2/3 IT,-0.21344821,-0.068617046
193061,SMC,0.10421333,-0.3924959
222323,L4/5 IT,-0.10303165,0.00957923
49245,Astro,-0.19945613,-0.010218751
94544,L4/5 IT,0.10483113,-0.25212178
94447,L6 IT,0.34296882,-0.1669586
93379,L2/3 IT,-0.17242059,-0.23193645
100314,L5 IT,-0.31339002,0.30166346
137027,L4/5 IT,0.20196974,-0.32394132
264112,L5/6 NP,0.29817623,-0.12674376
271620,L2/3 IT,-0.008010976,-0.27052888
207817,L6 IT,0.3534315,-0.09436855
50621,Lamp5,-0.06047807,0.4298534
205403,L2/3 IT,0.066194385,-0.32856846
50690,Astro,0.3827497,0.034704566
100637,L2/3 IT,-0.08980863,-0.25038463
100641,L6 CT,0.26737276,0.0064589083
136560,Pvalb,-0.30687955,0.26813152
93585,Endo,-0.17053035,-0.2715789
100648,Endo,-0.28718713,-0.20330167
136522,L6 IT,0.077155426,0.061969027
93561,L5 IT,-0.07664425,-0.04757975
50884,Sst,-0.18173179,0.29994908
50929,L4/5 IT,-0.18497135,-0.036464
100700,Oligo,0.038660493,0.1621123
136480,Lamp5,-0.10723826,0.04135993
136310,PVM,0.04975469,0.1739898
100844,L4/5 IT,-0.27570933,0.043637276
193591,L2/3 IT,-0.18730797,-0.13037336
93407,Pvalb,-0.0019964539,-0.057869487
51251,Micro,0.12772503,-0.16538063
93425,L5 ET,0.1113188,-0.032776095
50535,Astro,0.16386744,0.2100364
136350,Pvalb,0.005281862,0.1388515
262876,Astro,-0.29522067,-0.14827779
136433,L2/3 IT,-0.09829677,-0.24955624
271544,L4/5 IT,-0.28836295,-0.02441948
100716,L6 CT,-0.11563793,0.37287986
221680,L6 CT,0.38054505,-0.095674135
221703,L6 IT,0.28324145,-0.009418435
221651,Astro,0.11733812,0.27213195
221996,Oligo,0.13080974,0.25841781
93690,L2/3 IT,-0.08435117,-0.2730006
50485,L2/3 IT,-0.39209548,0.034694582
193325,Oligo,0.33021227,0.1999132
50152,Sst,-0.12614441,0.2151326
50159,Pvalb,0.2679137,-0.18833455
207730,L4/5 IT,-0.32567832,0.20410645
50166,Micro,-0.21278474,-0.24806362
50184,L2/3 IT,0.06601147,-0.3210421
205490,L5 ET,0.05086575,-0.111602545
93865,Astro,0.12463257,-0.19580957
100356,L6 IT,-0.07626815,0.25498995
136953,L4/5 IT,-0.1571183,-0.06565589
50218,L4/5 IT,0.19158599,-0.30165488
50224,Lamp5,-0.031966053,0.36203435
136884,L6 IT,0.2428342,-0.021278836
50227,L5 ET,-0.03418653,0.043634444
207737,L4/5 IT,-0.016652802,-0.14454487
93849,Oligo,0.20014012,0.23638502
100395,Sst,-0.18723379,-0.11111983
136733,Astro,-0.43148902,-0.016762065
93769,L4/5 IT,-0.2044222,0.018483534
136745,Endo,-0.015715702,-0.17880446
93779,L5 IT,0.15568319,0.09430325
100429,L2/3 IT,-0.4396974,0.11878558
100427,L6 CT,0.03853255,0.3268266
93750,PVM,-0.1543094,-0.2544594
50396,Astro,0.1008621,-0.38315308
136787,Sst,-0.07608781,0.12834448
50358,Endo,-0.2785124,0.032006267
193396,L6 CT,0.36275518,-0.14323163
207777,L4/5 IT,0.019455682,-0.23818848
50266,L4/5 IT,-0.026723886,-0.18505064
207768,L4/5 IT,-0.22862822,0.0012192894
100415,L6 CT,0.28423023,-0.08034009
131883,Endo,-0.43127856,-0.038414765
218519,Astro,-0.24097948,0.07137313
89379,Astro,0.15961434,0.032010116
215401,Oligo,0.4368186,0.03129126
81687,Astro,0.010397743,-0.26588804
198741,Astro,-0.15834853,-0.29899263
111218,L6 CT,0.1553059,0.06038916
70034,Pvalb,-0.12898776,-0.0613952
70031,Peri,0.43308797,-0.16269985
261166,L2/3 IT,-0.3080897,0.106097005
243093,Vip,-0.2371872,-0.03490839
261169,L6b,0.2752967,0.13649008
245950,Micro,0.21271043,-0.16830927
215443,Peri,-0.040526517,0.43424705
69956,L5 ET,0.22539009,-0.21015996
121023,Lamp5,0.07899843,-0.1571531
69943,L2/3 IT,-0.018330216,-0.28483146
245956,Peri,0.16858047,-0.18907183
215390,L4/5 IT,0.047106285,-0.22503614
268284,Oligo,0.22477688,0.21241966
70069,L2/3 IT,-0.25517517,-0.09542098
215381,L4/5 IT,-0.18567154,-0.022131525
111337,Endo,-0.111361414,-0.14310905
81605,Oligo,0.29623222,-0.10234145
70353,L6 IT,0.085732564,0.18495914
120678,L2/3 IT,-0.3404163,0.02393588
81618,L6 CT,0.12242231,0.17499879
198835,OPC,0.26088205,-0.0003225226
120713,Sst,-0.27229214,0.19786823
268242,L5 ET,0.17231207,-0.12219193
198818,L6 CT,-0.16272381,0.33970773
111276,Vip,-0.38552675,0.062084824
245408,L4/5 IT,-0.11746232,-0.07164894
120810,Micro,0.059499513,-0.39561936
259438,Pvalb,0.095072165,0.023154665
70103,L4/5 IT,-0.21113363,-0.03716632
81680,L2/3 IT,-0.13735455,-0.18785983
198751,L5 IT,0.1614456,-0.049050957
215494,L4/5 IT,-0.3064261,0.03994289
215498,L2/3 IT,-0.19416237,-0.21418482
69778,L5 ET,0.1920438,-0.16007823
211508,Oligo,0.1591438,0.16951331
121467,L2/3 IT,-0.37037903,0.062154427
121491,Astro,0.1995213,0.2927527
268375,L6 CT,0.0688062,0.25654888
81874,L4/5 IT,-0.25209016,0.108426325
69443,L2/3 IT,-0.41410258,0.10194939
110882,Vip,-0.28789517,-0.120331384
261215,L2/3 IT,0.11337735,-0.3264256
81909,Astro,-0.045897212,0.27252045
121590,L6 IT,0.22871251,-0.01614705
215629,L4/5 IT,-0.0419697,-0.112938896
268387,PVM,0.18918388,-0.3471965
69316,Astro,-0.26162663,-0.18857253
81974,L2/3 IT,-0.317174,0.0073622316
82053,L5 IT,-0.23198017,0.20418257
261208,L5 IT,-0.24113986,0.18816686
69574,VLMC,-0.24500462,-0.24005145
121371,Astro,-0.35366172,0.12600559
69606,L5 IT,-0.09354495,0.16961566
81772,L2/3 IT,0.044914205,-0.31471953
111070,Endo,0.21265282,-0.49277836
198687,L6 CT,0.36003214,0.00059635565
121118,L4/5 IT,0.12592414,-0.21911594
69678,Astro,-0.34298638,0.04187852
111033,L2/3 IT,-0.4399064,0.13014618
111032,L6 CT,0.0121023245,0.28768995
70475,Sst,0.31530178,-0.14294128
111005,Astro,-0.0017240494,-0.16681626
69641,L5 IT,-0.13762103,0.042165436
81805,Endo,-0.015537662,0.32360485
121270,L4/5 IT,0.067241356,-0.19067362
121314,L6 CT,0.29431516,-0.120302536
110957,L6 CT,0.28349033,-0.026565775
268355,L6 CT,0.05170348,0.19907156
245969,Endo,0.13399823,-0.24631491
69645,L4/5 IT,-0.24188699,-0.047072362
81568,L4/5 IT,-0.27822757,0.15850744
215267,L4/5 IT,-0.29286572,0.086584285
120511,L2/3 IT,0.0695139,-0.31884167
71537,L4/5 IT,-0.088370085,-0.022076711
199166,SMC,-0.5314173,0.033170946
81098,Micro,-0.23305544,-0.20705587
201730,L5 IT,-0.11643605,0.25760004
119640,L6 CT,0.3868012,-0.05626867
81203,L6 CT,0.34142047,-0.059416033
119652,L5 ET,-0.03133095,-0.037969705
81212,L4/5 IT,-0.2526033,0.13868207
71348,Endo,0.1615152,-0.20227125
266287,Peri,0.29558232,-0.16991445
119746,L2/3 IT,-0.23280299,-0.054789145
71272,L6 IT,-0.15158515,0.35820442
111616,L6b,0.18706791,0.21081707
111600,Pvalb,-0.27404517,-0.009692699
71151,SMC,0.098137334,-0.030257313
214943,Endo,0.07749444,0.03434109
111951,Oligo,-0.045413654,0.19942176
81072,L5 IT,0.07499069,0.023819122
111969,L4/5 IT,-0.15153883,-0.13869023
243225,L6 CT,-0.15883237,0.3099104
72041,L2/3 IT,0.15310425,-0.3599843
259691,Peri,0.32185808,-0.144627
201641,VLMC,-0.49559143,0.038806237
80825,L6 CT,0.22634692,0.13685521
119321,L6 CT,0.23394622,0.12894553
245487,L6 CT,0.27237663,0.061476335
119816,Oligo,0.33552757,0.09728784
245481,L4/5 IT,-0.11911327,-0.14823714
71947,Oligo,0.33633587,0.19831759
119369,Endo,0.30517218,-0.21975583
214801,Oligo,0.41875088,-0.018879602
112093,L5 IT,-0.12972498,0.15688124
267993,Astro,-0.072377056,-0.35194954
245867,L5/6 NP,0.030625965,0.07339978
214907,L2/3 IT,0.017847639,-0.27036983
199262,Astro,-0.17779176,0.24241626
82094,L5 IT,-0.14081748,0.3046955
268101,L6 IT,0.3026199,0.054594338
211711,Endo,-0.1545435,-0.22285232
201859,L5 IT,0.0052320063,-0.084880866
120227,L6 CT,0.37226865,-0.033679187
201860,OPC,-0.33351952,-0.16210628
81423,L4/5 IT,-0.30218518,0.17407936
120253,L6b,0.25223362,0.14517063
198951,L4/5 IT,-0.14352855,0.02112713
81446,L6 IT,0.35798794,-0.030607626
111431,L6 CT,0.11214097,0.03009829
266264,PVM,-0.11572014,0.00211923
111404,L5 IT,0.27678174,-0.17521322
81524,L5 IT,-0.04866038,0.07446073
272599,Astro,-0.12931,-0.301813
70621,L2/3 IT,-0.36803657,0.044634767
120428,SMC,-0.29539016,0.15651333
70476,L4/5 IT,0.11329062,-0.23256814
111458,L4/5 IT,-0.1652079,0.10372136
81396,Astro,-0.346608,-0.14407054
120202,L4/5 IT,-0.32324404,0.1908584
120182,SMC,-0.3335898,0.18254706
71126,Vip,-0.08091396,-0.28254083
261082,Astro,0.26428762,0.15685332
71121,L5/6 NP,-0.1949777,0.2699549
71077,L6 CT,0.058814485,0.1923407
119964,Astro,0.1582015,-0.37736228
119970,L5/6 NP,0.1373755,0.020932078
70992,L6 CT,0.116252184,0.111500464
111597,L2/3 IT,0.060641874,-0.34011945
199026,SMC,-0.010353617,-0.14036542
215091,L5 IT,0.13091457,0.015855677
70913,L4/5 IT,-0.18509081,-0.017193493
120078,L4/5 IT,0.17068851,-0.25721994
70908,L5/6 NP,-0.009431247,0.043402664
70901,L5 IT,0.09339626,-0.032702114
261103,VLMC,0.18860398,-0.52144814
120127,Astro,-0.45491108,0.039548256
70962,L4/5 IT,-0.32766208,0.22404635
202099,L6 IT,-0.1578166,0.33379868
121769,L4/5 IT,-0.24488632,0.022717085
215743,L6b,0.39121357,0.059772678
83293,L5 IT,0.028165456,0.04494013
123117,Peri,0.22569408,-0.34556565
198018,Endo,-0.021040816,-0.09749933
83303,L4/5 IT,-0.262987,0.12840712
109844,L6 CT,0.014036782,0.23744854
83344,L2/3 IT,-0.2631336,-0.15239888
259008,L5/6 NP,-0.021738049,0.06437897
83345,Oligo,0.18056248,-0.09182221
123170,L2/3 IT,-0.15382601,-0.23829079
216378,Oligo,0.342125,0.19958541
67123,Pvalb,0.10015328,0.050879642
67105,L4/5 IT,-0.31008863,0.1780518
123272,L5 IT,0.30235714,-0.27640817
202419,L5/6 NP,-0.11059633,0.21317834
258996,L2/3 IT,0.062217798,-0.2943521
265933,VLMC,-0.1726503,-0.29567602
67213,L5 IT,-0.075638816,0.29770035
83184,L6 CT,0.025994826,0.19891977
67263,L4/5 IT,-0.20784657,0.115366526
67576,L4/5 IT,0.046989407,-0.20471138
67547,Pvalb,-0.10397145,-0.07240023
216248,L4/5 IT,-0.33384335,0.19897509
259041,L5 IT,0.018187668,0.19167432
67452,L5 IT,0.20840655,-0.06875713
67450,Peri,0.0143512525,-0.16108021
83122,L6 CT,0.24358071,0.016133979
197964,Astro,-0.34849495,-0.075788006
83143,Endo,-0.23857887,0.1385203
83151,L4/5 IT,-0.09256633,-0.17340383
261372,Oligo,0.14939931,0.20959908
265945,L6b,0.31821924,0.09069657
268712,L5 IT,-0.1873208,0.25482178
202387,Pvalb,-0.00862639,-0.20759115
123027,L5/6 NP,0.037584703,0.010298971
123055,Micro,-0.4131787,0.05264976
122941,L6 CT,0.21585245,0.0015305057
67598,L4/5 IT,-0.2742274,0.158211
261394,Oligo,-0.07998522,0.44801757
67030,L4/5 IT,-0.33076528,0.11552056
265816,VLMC,-0.5427214,0.04323273
261425,L6 CT,0.3258664,0.022166997
216568,L6b,0.35426924,0.08467748
66579,L4/5 IT,-0.26436526,0.10262839
66549,L5 IT,0.048668083,0.010179516
83794,Vip,0.07711415,-0.35035184
109488,L5 IT,0.10089894,0.01750927
109486,L2/3 IT,-0.4054939,0.060366556
109463,L6 IT,-0.12938946,0.26091182
123761,L5 IT,-0.07336256,0.1881873
123769,Astro,-0.2641111,0.014765557
83853,L2/3 IT,-0.038560133,-0.3036316
83878,Astro,0.2926954,-0.14569984
123781,L2/3 IT,-0.0666088,-0.27431613
66511,L5 IT,0.069913164,0.027102444
246109,L5 ET,0.043320615,-0.06112056
66610,L2/3 IT,-0.12015414,-0.2679293
197861,PVM,0.3007598,-0.24955496
268858,L5 IT,-0.18777305,0.27529362
83460,L2/3 IT,0.05324417,-0.33741438
83473,L2/3 IT,0.1714734,-0.3995238
109729,L6 CT,0.14693418,0.10651914
123352,L5 IT,0.12366238,-0.17214718
109713,L6 IT,-0.048582647,0.25949463
261409,L2/3 IT,-0.24757141,-0.12187383
123410,PVM,-0.13823809,-0.2510792
258995,L5 ET,-0.1355262,0.17864746
210960,L2/3 IT,-0.4263443,0.069816776
243884,Oligo,0.45115587,0.00014198758
66862,Endo,0.35660896,-0.1615079
83705,L6 IT,-0.13563138,0.3738663
66671,L5 IT,0.10370402,-0.09922673
261421,Astro,-0.09565699,0.2236189
109585,Endo,-0.034811884,-0.32494056
66646,Peri,-0.08640937,-0.09821095
210940,L6 IT,0.29967853,-0.0015287884
80791,L4/5 IT,-0.13900964,0.020294398
261351,L5 ET,0.06872164,-0.031764656
198143,L5 ET,0.2114497,-0.19320387
122048,Astro,0.38580117,-0.03883385
68817,L6 IT,-0.06506753,0.16745377
202163,L6 IT,-0.04586446,0.29531413
110556,VLMC,0.07461037,-0.43134668
82510,L5 IT,0.09535156,0.10359117
215856,Vip,-0.3931904,0.008546051
110538,L6 CT,0.45219854,-0.07620514
110534,Astro,-0.25172964,-0.20904624
68660,Peri,-0.053306654,0.45387685
243049,PVM,0.4102174,-0.032838706
266047,L5/6 NP,-0.2984799,0.30120683
68558,L6 IT,-0.025299523,0.23737788
68548,L4/5 IT,-0.2651234,0.13879299
110464,Oligo,0.3758832,0.11107508
82576,OPC,0.3013426,-0.029518206
215807,L5 IT,0.25216588,-0.2532878
68887,Oligo,0.10099973,-0.41817293
243814,Oligo,0.04771423,0.03506224
68976,OPC,-0.31631234,0.095889576
82162,L2/3 IT,0.12597634,-0.36665073
69094,L2/3 IT,-0.2780592,-0.10901577
198512,L6 IT,0.069781825,0.063473836
82201,Micro,-0.036787026,0.089071155
69077,L6 CT,0.27816793,0.015728816
259257,L2/3 IT,-0.23294136,-0.088149995
245986,Peri,-0.44030333,-0.009919371
68509,L6 CT,-0.022894548,0.3628966
198504,Astro,-0.30478433,0.2459597
121883,L4/5 IT,-0.3136023,0.23582801
69026,Oligo,0.4544012,-0.047259614
82271,L6 CT,-0.042865723,0.3948943
266099,L5 IT,0.1553024,-0.20934215
198471,L5 ET,0.277524,-0.2132234
82340,Astro,-0.14930159,-0.024970206
211342,L6 CT,0.10016306,0.2444075
69041,L4/5 IT,-0.32900238,0.18623644
122773,L6 IT,0.07725133,0.12657231
82641,L4/5 IT,-0.19462658,0.03818068
68471,L6 IT,0.021419313,0.16288522
122562,Vip,0.026342753,-0.32279903
68004,Sst,-0.17159691,-0.13353428
82904,L4/5 IT,-0.015237113,-0.1683397
82906,L6 CT,0.3528009,0.06691809
122606,L4/5 IT,-0.2656063,0.07458837
122620,L5 IT,-0.037842713,0.1102206
268589,Endo,-0.045306083,-0.34881425
202296,Astro,-0.069113895,-0.31434745
83007,Endo,0.329793,-0.063625276
268623,L4/5 IT,-0.32829776,0.1932427
198189,Oligo,0.19623207,0.15908211
122680,Oligo,0.3370639,0.021275494
122706,VLMC,-0.49817953,-0.010772144
202317,L5 ET,-0.28743675,0.27766326
198144,L4/5 IT,-0.20963788,0.08075139
198241,Oligo,0.090095446,0.40247115
82876,L2/3 IT,-0.16572629,-0.19528079
82864,L6 IT,0.27405235,0.052887797
122548,Vip,-0.08484538,0.20721218
122347,Endo,-0.06642234,-0.13720158
122348,L2/3 IT,-0.020700734,-0.28476548
110368,L6 IT,0.15313683,0.017265234
259169,Micro,-0.193109,0.04371591
68285,L6 IT,-0.027101014,0.22417945
198306,Oligo,0.012655277,-0.12419141
68222,L5 IT,0.10420421,-0.0055023264
68483,Endo,0.34329146,-0.027029395
110323,L6 IT,-0.17829746,0.35687536
82785,L2/3 IT,-0.39237213,0.045461617
110319,Astro,-0.19588943,-0.2507401
216034,Astro,0.16121213,-0.47019377
110311,L5/6 NP,0.08788772,0.029882964
110283,L2/3 IT,-0.013914105,-0.29781255
68090,L2/3 IT,-0.34896258,0.10855102
245345,L6 CT,0.30655313,0.0426706
216020,VLMC,-0.49548787,-0.015573739
268883,VLMC,-0.016149038,-0.38878196
72110,L5 ET,0.34185037,-0.2100068
112195,L2/3 IT,-0.35858795,0.10608139
78534,SMC,-0.31755385,0.14915025
78536,SMC,-0.11327356,-0.0031648912
78582,L2/3 IT,0.023175444,-0.24976602
212550,Vip,0.09093836,-0.27270973
260202,L4/5 IT,-0.30335838,0.19888881
213629,Astro,0.256572,-0.2427404
200245,L5/6 NP,0.23694731,-0.17873281
116305,L6 CT,0.10130124,0.100971706
75513,Endo,0.17166913,0.037079707
116340,OPC,-0.021036623,-0.16022444
116355,L4/5 IT,0.16743499,-0.2653226
116362,L2/3 IT,-0.34488496,-0.051300637
78683,L6 CT,0.065853015,0.21199396
267327,L2/3 IT,-0.27040586,-0.05482054
75435,L6 CT,0.36671448,-0.17933464
114039,L4/5 IT,0.20862268,-0.30555394
78730,Astro,-0.33313373,-0.13796228
75625,Astro,-0.12592116,-0.28120005
114123,L5 ET,0.29429242,-0.3033143
267213,Peri,0.2551577,0.10424607
78317,L4/5 IT,-0.19423667,0.01617321
200337,L4/5 IT,0.112283155,-0.23919445
200966,L5 IT,-0.19397227,0.16297907
213511,Oligo,0.00025579706,0.13149816
75959,L5 ET,-0.033542305,0.003551077
260263,L4/5 IT,0.20065315,-0.318141
78388,L6 IT,-0.13331637,0.38146415
114148,L6 CT,0.4517576,-0.09432341
116109,Vip,0.11765252,0.4187649
78438,L2/3 IT,-0.33235055,0.025646813
116114,L2/3 IT,-0.34834525,-0.004939275
200300,Endo,0.012886103,-0.3290983
114130,L4/5 IT,0.047719095,-0.25418958
116131,L6 CT,0.11912982,0.051850654
267251,Pvalb,-0.1315742,-0.0070553776
116451,L5 IT,-0.14262015,0.07099971
113873,L6 CT,-0.19098741,0.34388453
75419,Oligo,0.28959787,0.17636397
74987,L2/3 IT,-0.10799472,-0.21781108
116853,L6 CT,0.091496006,0.1808283
201123,L4/5 IT,-0.2618131,0.112983204
116878,L6 CT,0.3557588,0.04836689
74960,OPC,-0.09206876,-0.18519181
74923,L6 CT,-0.00805245,0.18363696
212442,L5 IT,-0.1515233,0.08462898
267440,L6 CT,0.39225236,-0.008628514
213873,PVM,0.24100058,0.14665544
116951,Vip,-0.06795622,-0.15006405
78992,Oligo,0.32928067,0.18703628
116984,Oligo,-0.06279447,0.34722188
74797,L6 CT,0.39568782,0.011577629
74779,L4/5 IT,-0.04808556,-0.15808076
212416,L4/5 IT,-0.17633937,0.042026736
74991,OPC,0.10753316,0.035408728
116832,Micro,-0.23062108,-0.062455364
74994,SMC,0.10253024,-0.31548855
267426,Endo,-0.35462028,-0.085943446
260157,Astro,0.037496362,-0.050916836
266720,Peri,0.028651733,0.14776975
213737,L2/3 IT,-0.33355412,-0.11663258
116547,L2/3 IT,-0.38102862,-0.015724154
200158,VLMC,-0.19250482,-0.28155965
266701,L2/3 IT,0.19005463,-0.35934836
213773,Endo,0.19005297,-0.11021153
213483,L5 IT,-0.1116097,0.13688922
116707,L6 CT,0.30429104,0.019747447
213788,L6 IT,-0.12632585,0.24518928
116723,L2/3 IT,-0.31497046,0.021904409
75147,Astro,0.42000896,-0.08638974
200102,L4/5 IT,-0.043383878,-0.16791153
201112,Endo,-0.007995956,0.2698561
212464,Oligo,-0.18273513,0.16620028
113703,Oligo,0.24631421,-0.01604069
200122,Peri,0.23613279,0.0105192885
78249,Astro,-0.21409342,0.27895787
78188,L5 IT,-0.16701597,0.2790977
78156,L6 IT,0.45455098,-0.1517289
115120,Endo,-0.025554858,0.27761835
77675,L4/5 IT,0.09378743,-0.27315104
267050,L2/3 IT,-0.13045865,-0.22976014
212872,VLMC,-0.34191334,-0.16169053
266880,VLMC,-0.105028056,-0.33717245
114632,L6 CT,0.12798525,0.15914917
77768,Micro,0.00036242977,0.2622096
77802,L5 IT,-0.06174736,-0.00676989
76700,L6b,0.21147428,0.17646042
213217,L4/5 IT,-0.006882999,-0.16887057
200576,PVM,0.14153247,0.24764419
77819,Peri,-0.20117472,0.22059599
267088,L5 ET,-0.012871955,-0.066973
76636,L6 CT,0.18744484,0.12859905
76615,Oligo,-0.23435375,0.19066048
243512,L6 IT,0.056860607,0.18345127
200608,L4/5 IT,-0.28701565,0.1497806
213118,Oligo,0.44795722,0.09953909
114669,SMC,-0.28549272,0.15994796
245618,L5 ET,0.08580533,-0.056001857
260474,L6 CT,0.27452362,0.103289776
212938,Endo,0.05063067,-0.41061437
260477,L6 CT,-0.031029733,0.2535156
77248,Endo,-0.16611639,0.26925763
77225,SMC,-0.007713996,-0.13443384
200678,L5 ET,0.16803658,-0.057043057
115390,L2/3 IT,0.11459267,-0.36764145
77471,L6 CT,0.0057984106,0.19938028
243529,L6 IT,0.25186348,-0.02182658
243549,L5 IT,0.24014528,-0.039072968
77071,L2/3 IT,0.13495477,-0.33766192
77025,L6 CT,-0.07054967,0.20346904
213099,Oligo,0.22197379,0.24493334
77509,L4/5 IT,-0.07609318,-0.06118846
200787,L6 CT,0.13543405,0.22721729
212929,L5 ET,0.17623655,-0.12091091
79192,Oligo,-0.005061131,0.39403865
76607,L2/3 IT,-0.13805397,-0.26617938
266850,L4/5 IT,-0.07035685,-0.11242903
115703,Oligo,-0.07506313,0.3421343
78024,Astro,0.11150505,-0.41767624
200902,L6 CT,0.34946296,-0.15757105
76188,L2/3 IT,0.16164735,-0.3698901
76165,VLMC,-0.3458171,-0.15395531
115817,L5 ET,0.1468686,-0.19448057
115833,VLMC,-0.049772445,-0.36508295
76125,L4/5 IT,0.07390025,-0.2186662
115873,Astro,0.23214789,0.21772167
212767,Oligo,0.3662863,-0.0006641019
76089,Astro,0.0054437146,-0.34167248
115925,L4/5 IT,-0.026724609,-0.12161327
114287,L5/6 NP,-0.1666526,0.15502363
213462,L5 IT,-0.0063868985,0.080775715
76051,L6 CT,0.30965337,0.014536314
260333,Peri,0.13735217,-0.06659922
115676,L2/3 IT,-0.34607497,0.089902714
76351,L6 CT,0.085231185,0.2012409
115623,Astro,0.2778938,-0.30690297
213285,Oligo,0.15294364,0.2425344
114542,L6 CT,-0.11088024,0.21811551
212801,Peri,-0.19457015,0.15144578
115499,PVM,0.21808116,-0.528979
213299,L6 IT,-0.10579148,0.29951447
76457,L6 IT,0.0125463605,0.1948241
114510,L5 ET,0.17195512,-0.11729933
76592,L6 IT,0.326809,-0.17542464
260366,L6 CT,-0.040187284,0.17066073
115579,L5 ET,-0.10383655,0.11328731
76415,Micro,-0.23912144,-0.114686996
213335,PVM,0.017824788,0.4657684
212797,L2/3 IT,-0.07010803,-0.18372175
260558,Micro,-0.481925,0.030818313
76371,L2/3 IT,-0.36264968,0.07206259
114489,L4/5 IT,-0.09795019,-0.06639974
267141,L4/5 IT,-0.17803216,0.036878712
117022,PVM,0.14312957,-0.4013702
74697,L5 ET,-0.23477061,0.28404716
74694,Pvalb,-0.17734863,0.008997623
118431,L5 ET,0.11318095,-0.07145075
118462,L6 CT,-0.008643497,0.3311068
267772,VLMC,-0.44010338,-0.07253259
72965,L2/3 IT,-0.33268845,0.09520969
80124,L5 ET,-0.12225698,0.18790987
214433,L4/5 IT,-0.14655927,-0.18782538
260878,SMC,0.3711764,0.0659234
72916,L2/3 IT,-0.21231939,-0.11519629
118511,L4/5 IT,-0.20159967,0.058722198
199489,L4/5 IT,-0.13723227,-0.048945002
118530,L6 CT,0.4235514,-0.12855054
80154,PVM,0.017852936,-0.3639036
80166,L2/3 IT,0.15193686,-0.3457562
259828,L6 IT,0.32763684,-0.17849946
80184,L4/5 IT,-0.17696016,-0.0046592206
214406,L6 CT,0.382317,-0.16180125
72999,Astro,-0.03836181,-0.0072447453
118396,L2/3 IT,-0.2765959,0.005575005
112652,Astro,-0.06610173,0.10546721
